Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(Weather)
1,2019,05,19,12,2,7,5,24.00,3
1,2019,05,19,12,3,7,5,24.00,3
1,2019,05,19,13,0,7,5,24.00,3
1,2019,05,19,13,1,7,5,24.00,3
1,2019,05,19,13,2,7,5,24.00,3
1,2019,05,19,13,3,7,5,24.00,3
1,2019,05,19,14,0,7,5,24.00,3
1,2019,05,19,14,1,7,5,24.00,3
1,2019,05,19,14,2,7,5,24.00,3
1,2019,05,19,14,3,7,5,24.00,3
1,2019,05,19,15,0,7,5,24.00,3
1,2019,05,19,15,1,7,5,24.00,3
1,2019,05,19,15,2,7,5,24.00,3
1,2019,05,19,15,3,7,5,24.00,3
1,2019,05,19,16,0,7,5,24.00,3
1,2019,05,19,16,1,7,5,24.00,3
1,2019,05,19,16,2,7,5,24.00,3
1,2019,05,19,16,3,7,5,24.00,3
1,2019,05,19,17,0,7,5,24.00,3
1,2019,05,19,17,1,7,5,24.00,3
1,2019,05,19,17,2,7,5,24.00,3
1,2019,05,19,17,3,7,5,24.00,3
1,2019,05,19,18,0,7,5,24.00,3
1,2019,05,19,18,1,7,5,24.00,3
1,2019,05,19,18,2,7,5,24.00,3
1,2019,05,19,18,3,7,5,24.00,3
1,2019,05,19,19,0,7,5,24.00,3
1,2019,05,19,19,1,7,5,24.00,3
1,2019,05,19,19,2,7,5,24.00,3
1,2019,05,19,19,3,7,5,24.00,3
1,2019,05,19,20,0,7,5,24.00,3
1,2019,05,19,20,1,7,5,24.00,3
1,2019,05,19,20,2,7,5,24.00,3
1,2019,05,19,20,3,7,5,24.00,3
1,2019,05,19,21,0,7,5,24.00,3
1,2019,05,19,21,1,7,5,24.00,3
1,2019,05,19,21,2,7,5,24.00,3
1,2019,05,19,21,3,7,5,24.00,3
1,2019,05,19,22,0,7,5,24.00,3
1,2019,05,19,22,1,7,5,24.00,3
1,2019,05,19,22,2,7,5,24.00,3
1,2019,05,19,22,3,7,5,24.00,3
1,2019,05,19,23,0,7,5,24.00,3
1,2019,05,19,23,1,7,5,24.00,3
1,2019,05,19,23,2,7,5,24.00,3
1,2019,05,19,23,3,7,5,24.00,3
1,2019,05,20,00,0,1,4,26.00,1
1,2019,05,20,00,1,1,4,26.00,1
1,2019,05,20,00,2,1,4,26.00,1
1,2019,05,20,00,3,1,4,26.00,1
1,2019,05,20,01,0,1,4,26.00,1
1,2019,05,20,01,1,1,4,26.00,1
1,2019,05,20,01,2,1,4,26.00,1
1,2019,05,20,01,3,1,4,26.00,1
1,2019,05,20,02,0,1,4,26.00,1
1,2019,05,20,02,1,1,4,26.00,1
1,2019,05,20,02,2,1,4,26.00,1
1,2019,05,20,02,3,1,4,26.00,1
1,2019,05,20,03,0,1,4,26.00,1
1,2019,05,20,03,1,1,4,26.00,1
1,2019,05,20,03,2,1,4,26.00,1
1,2019,05,20,03,3,1,4,26.00,1
1,2019,05,20,04,0,1,4,26.00,1
1,2019,05,20,04,1,1,4,26.00,1
1,2019,05,20,04,2,1,4,26.00,1
1,2019,05,20,04,3,1,4,26.00,1
1,2019,05,20,05,0,1,4,26.00,1
1,2019,05,20,05,1,1,4,26.00,1
1,2019,05,20,05,2,1,4,26.00,1
1,2019,05,20,05,3,1,4,26.00,1
1,2019,05,20,06,0,1,4,26.00,1
1,2019,05,20,06,1,1,4,26.00,1
1,2019,05,20,06,2,1,4,26.00,1
1,2019,05,20,06,3,1,4,26.00,1
1,2019,05,20,07,0,1,4,26.00,1
1,2019,05,20,07,1,1,4,26.00,1
1,2019,05,20,07,2,1,4,26.00,1
1,2019,05,20,07,3,1,4,26.00,1
1,2019,05,20,08,0,1,4,26.00,1
1,2019,05,20,08,1,1,4,26.00,1
1,2019,05,20,08,2,1,4,26.00,1
1,2019,05,20,08,3,1,4,26.00,1
1,2019,05,20,09,0,1,4,26.00,1
1,2019,05,20,09,1,1,4,26.00,1
1,2019,05,20,09,2,1,4,26.00,1
1,2019,05,20,09,3,1,4,26.00,1
1,2019,05,20,10,0,1,4,26.00,1
1,2019,05,20,10,1,1,4,26.00,1
1,2019,05,20,10,2,1,4,26.00,1
1,2019,05,20,10,3,1,4,26.00,1
1,2019,05,20,11,0,1,4,26.00,1
1,2019,05,20,11,1,1,4,26.00,1
1,2019,05,20,11,2,1,4,26.00,1
1,2019,05,20,11,3,1,4,26.00,1
1,2019,05,20,12,0,1,4,26.00,1
1,2019,05,20,12,1,1,4,26.00,1
