Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2019,05,12,12,1,7,5,30.00,1,4.40
1,2019,05,12,12,2,7,5,30.00,1,4.70
1,2019,05,12,12,3,7,5,30.00,1,4.30
1,2019,05,12,13,0,7,5,30.00,1,4.60
1,2019,05,12,13,1,7,5,30.00,1,4.60
1,2019,05,12,13,2,7,5,30.00,1,4.50
1,2019,05,12,13,3,7,5,30.00,1,4.40
1,2019,05,12,14,0,7,5,30.00,1,4.50
1,2019,05,12,14,1,7,5,30.00,1,4.20
1,2019,05,12,14,2,7,5,30.00,1,4.70
1,2019,05,12,14,3,7,5,30.00,1,4.70
1,2019,05,12,15,0,7,5,30.00,1,4.20
1,2019,05,12,15,1,7,5,30.00,1,4.30
1,2019,05,12,15,2,7,5,30.00,1,4.50
1,2019,05,12,15,3,7,5,30.00,1,4.50
1,2019,05,12,16,0,7,5,30.00,1,4.80
1,2019,05,12,16,1,7,5,30.00,1,4.30
1,2019,05,12,16,2,7,5,30.00,1,4.50
1,2019,05,12,16,3,7,5,30.00,1,4.60
1,2019,05,12,17,0,7,5,30.00,1,4.30
1,2019,05,12,17,1,7,5,30.00,1,4.50
1,2019,05,12,17,2,7,5,30.00,1,4.50
1,2019,05,12,17,3,7,5,30.00,1,3.90
1,2019,05,12,18,0,7,5,30.00,1,4.20
1,2019,05,12,18,1,7,5,30.00,1,4.20
1,2019,05,12,18,2,7,5,30.00,1,4.10
1,2019,05,12,18,3,7,5,30.00,1,4.30
1,2019,05,12,19,0,7,5,30.00,1,4.10
1,2019,05,12,19,1,7,5,30.00,1,3.90
1,2019,05,12,19,2,7,5,30.00,1,4.30
1,2019,05,12,19,3,7,5,30.00,1,3.90
1,2019,05,12,20,0,7,5,30.00,1,4.50
1,2019,05,12,20,1,7,5,30.00,1,4.30
1,2019,05,12,20,2,7,5,30.00,1,4.20
1,2019,05,12,20,3,7,5,30.00,1,4.10
1,2019,05,12,21,0,7,5,30.00,1,4.00
1,2019,05,12,21,1,7,5,30.00,1,4.10
1,2019,05,12,21,2,7,5,30.00,1,3.80
1,2019,05,12,21,3,7,5,30.00,1,4.20
1,2019,05,12,22,0,7,5,30.00,1,4.00
1,2019,05,12,22,1,7,5,30.00,1,4.20
1,2019,05,12,22,2,7,5,30.00,1,4.00
1,2019,05,12,22,3,7,5,30.00,1,4.20
1,2019,05,12,23,0,7,5,30.00,1,3.70
1,2019,05,12,23,1,7,5,30.00,1,4.00
1,2019,05,12,23,2,7,5,30.00,1,4.00
1,2019,05,12,23,3,7,5,30.00,1,4.00
1,2019,05,13,00,0,1,4,28.00,2,4.50
1,2019,05,13,00,1,1,4,28.00,2,4.60
1,2019,05,13,00,2,1,4,28.00,2,4.30
1,2019,05,13,00,3,1,4,28.00,2,4.50
1,2019,05,13,01,0,1,4,28.00,2,4.50
1,2019,05,13,01,1,1,4,28.00,2,4.40
1,2019,05,13,01,2,1,4,28.00,2,4.40
1,2019,05,13,01,3,1,4,28.00,2,4.40
1,2019,05,13,02,0,1,4,28.00,2,4.50
1,2019,05,13,02,1,1,4,28.00,2,4.40
1,2019,05,13,02,2,1,4,28.00,2,3.70
1,2019,05,13,02,3,1,4,28.00,2,3.80
1,2019,05,13,03,0,1,4,28.00,2,3.70
1,2019,05,13,03,1,1,4,28.00,2,3.70
1,2019,05,13,03,2,1,4,28.00,2,3.80
