BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather,Demand
1,2018,6,10,16,1,7,5,21.6,4,0
1,2018,6,10,16,2,7,5,21.6,4,0
1,2018,6,10,16,3,7,5,21.6,4,0
1,2018,6,10,17,0,7,5,21.6,4,2288
1,2018,6,10,17,1,7,5,21.6,4,2740
1,2018,6,10,17,2,7,5,21.6,4,2716
1,2018,6,10,17,3,7,5,21.6,4,2728
1,2018,6,10,18,0,7,5,21.6,4,2712
1,2018,6,10,18,1,7,5,21.6,4,2716
1,2018,6,10,18,2,7,5,21.6,4,2704
1,2018,6,10,18,3,7,5,21.6,4,2724
1,2018,6,10,19,0,7,5,21.6,4,2728
1,2018,6,10,19,1,7,5,21.6,4,2724
1,2018,6,10,19,2,7,5,21.6,4,2716
1,2018,6,10,19,3,7,5,21.6,4,2728
1,2018,6,10,20,0,7,5,21.6,4,2724
1,2018,6,10,20,1,7,5,21.6,4,2728
1,2018,6,10,20,2,7,5,21.6,4,2712
1,2018,6,10,20,3,7,5,21.6,4,2712
1,2018,6,10,21,0,7,5,21.6,4,2712
1,2018,6,10,21,1,7,5,21.6,4,2724
1,2018,6,10,21,2,7,5,21.6,4,2716
1,2018,6,10,21,3,7,5,21.6,4,2716
1,2018,6,10,22,0,7,5,21.6,4,2724
1,2018,6,10,22,1,7,5,21.6,4,2712
1,2018,6,10,22,2,7,5,21.6,4,2708
1,2018,6,10,22,3,7,5,21.6,4,2720
1,2018,6,10,23,0,7,5,21.6,4,1364
1,2018,6,10,23,1,7,5,21.6,4,1360
1,2018,6,10,23,2,7,5,21.6,4,1328
1,2018,6,10,23,3,7,5,21.6,4,468
1,2018,6,11,0,0,7,5,21.6,4,456
1,2018,6,11,0,1,1,4,19.2,4,456
1,2018,6,11,0,2,1,4,19.2,4,460
1,2018,6,11,0,3,1,4,19.2,4,460
1,2018,6,11,1,0,1,4,19.2,4,452
1,2018,6,11,1,1,1,4,19.2,4,452
1,2018,6,11,1,2,1,4,19.2,4,504
1,2018,6,11,1,3,1,4,19.2,4,456
1,2018,6,11,2,0,1,4,19.2,4,472
1,2018,6,11,2,1,1,4,19.2,4,456
1,2018,6,11,2,2,1,4,19.2,4,476
1,2018,6,11,2,3,1,4,19.2,4,452
1,2018,6,11,3,0,1,4,19.2,4,468
1,2018,6,11,3,1,1,4,19.2,4,496
1,2018,6,11,3,2,1,4,19.2,4,472
1,2018,6,11,3,3,1,4,19.2,4,456
1,2018,6,11,4,0,1,4,19.2,4,448
1,2018,6,11,4,1,1,4,19.2,4,480
1,2018,6,11,4,2,1,4,19.2,4,456
1,2018,6,11,4,3,1,4,19.2,4,500
1,2018,6,11,5,0,1,4,19.2,4,464
1,2018,6,11,5,1,1,4,19.2,4,452
1,2018,6,11,5,2,1,4,19.2,4,456
1,2018,6,11,5,3,1,4,19.2,4,468
1,2018,6,11,6,0,1,4,19.2,4,464
1,2018,6,11,6,1,1,4,19.2,4,456
1,2018,6,11,6,2,1,4,19.2,4,464
1,2018,6,11,6,3,1,4,19.2,4,448
1,2018,6,11,7,0,1,4,19.2,4,472
1,2018,6,11,7,1,1,4,19.2,4,1368
1,2018,6,11,7,2,1,4,19.2,4,1332
1,2018,6,11,7,3,1,4,19.2,4,1348
1,2018,6,11,8,0,1,4,19.2,4,1340
1,2018,6,11,8,1,1,4,19.2,4,2008
1,2018,6,11,8,2,1,4,19.2,4,1872
1,2018,6,11,8,3,1,4,19.2,4,1896
1,2018,6,11,9,0,1,4,19.2,4,1864
1,2018,6,11,9,1,1,4,19.2,4,2056
1,2018,6,11,9,2,1,4,19.2,4,2052
1,2018,6,11,9,3,1,4,19.2,4,2092
1,2018,6,11,10,0,1,4,19.2,4,2084
