BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather,Demand
1,2019,6,20,23,1,4,4,32.3,4,20616
1,2019,6,20,23,2,4,4,32.3,4,25220
1,2019,6,20,23,3,4,4,32.3,4,19840
1,2019,6,21,0,0,4,4,32.3,4,21576
1,2019,6,21,0,1,5,4,32.9,4,15344
1,2019,6,21,0,2,5,4,32.9,4,25432
1,2019,6,21,0,3,5,4,32.9,4,27144
1,2019,6,21,1,0,5,4,32.9,4,27816
1,2019,6,21,1,1,5,4,32.9,3,26908
1,2019,6,21,1,2,5,4,32.9,3,26988
1,2019,6,21,1,3,5,4,32.9,3,11404
1,2019,6,21,2,0,5,4,32.9,3,12952
1,2019,6,21,2,1,5,4,32.9,2,11808
1,2019,6,21,2,2,5,4,32.9,2,12388
1,2019,6,21,2,3,5,4,32.9,2,13060
1,2019,6,21,3,0,5,4,32.9,2,11416
1,2019,6,21,3,1,5,4,32.9,3,27252
1,2019,6,21,3,2,5,4,32.9,3,25008
1,2019,6,21,3,3,5,4,32.9,3,24292
1,2019,6,21,4,0,5,4,32.9,3,1680
1,2019,6,21,4,1,5,4,32.9,3,29008
1,2019,6,21,4,2,5,4,32.9,3,23976
1,2019,6,21,4,3,5,4,32.9,3,33280
1,2019,6,21,5,0,5,4,32.9,3,14648
1,2019,6,21,5,1,5,4,32.9,3,24524
1,2019,6,21,5,2,5,4,32.9,3,18108
1,2019,6,21,5,3,5,4,32.9,3,23876
1,2019,6,21,6,0,5,4,32.9,3,29960
1,2019,6,21,6,1,5,4,32.9,2,13636
1,2019,6,21,6,2,5,4,32.9,2,9496
1,2019,6,21,6,3,5,4,32.9,2,12712
1,2019,6,21,7,0,5,4,32.9,2,20616
1,2019,6,21,7,1,5,4,32.9,2,21384
1,2019,6,21,7,2,5,4,32.9,2,24480
1,2019,6,21,7,3,5,4,32.9,2,16524
1,2019,6,21,8,0,5,4,32.9,2,25856
1,2019,6,21,8,1,5,4,32.9,1,13640
1,2019,6,21,8,2,5,4,32.9,1,13564
1,2019,6,21,8,3,5,4,32.9,1,13728
1,2019,6,21,9,0,5,4,32.9,1,12904
