BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather
1,2018,7,30,0,1,1,4,35.8,1
1,2018,7,30,0,2,1,4,35.8,1
1,2018,7,30,0,3,1,4,35.8,1
1,2018,7,30,1,0,1,4,35.8,1
1,2018,7,30,1,1,1,4,35.8,1
1,2018,7,30,1,2,1,4,35.8,1
1,2018,7,30,1,3,1,4,35.8,1
1,2018,7,30,2,0,1,4,35.8,1
1,2018,7,30,2,1,1,4,35.8,1
1,2018,7,30,2,2,1,4,35.8,1
1,2018,7,30,2,3,1,4,35.8,1
1,2018,7,30,3,0,1,4,35.8,1
1,2018,7,30,3,1,1,4,35.8,1
1,2018,7,30,3,2,1,4,35.8,1
1,2018,7,30,3,3,1,4,35.8,1
1,2018,7,30,4,0,1,4,35.8,1
1,2018,7,30,4,1,1,4,35.8,1
1,2018,7,30,4,2,1,4,35.8,1
1,2018,7,30,4,3,1,4,35.8,1
1,2018,7,30,5,0,1,4,35.8,1
1,2018,7,30,5,1,1,4,35.8,1
1,2018,7,30,5,2,1,4,35.8,1
1,2018,7,30,5,3,1,4,35.8,1
1,2018,7,30,6,0,1,4,35.8,1
1,2018,7,30,6,1,1,4,35.8,1
1,2018,7,30,6,2,1,4,35.8,1
1,2018,7,30,6,3,1,4,35.8,1
1,2018,7,30,7,0,1,4,35.8,1
1,2018,7,30,7,1,1,4,35.8,1
1,2018,7,30,7,2,1,4,35.8,1
1,2018,7,30,7,3,1,4,35.8,1
1,2018,7,30,8,0,1,4,35.8,1
1,2018,7,30,8,1,1,4,35.8,1
1,2018,7,30,8,2,1,4,35.8,1
1,2018,7,30,8,3,1,4,35.8,1
1,2018,7,30,9,0,1,4,35.8,1
1,2018,7,30,9,1,1,4,35.8,1
1,2018,7,30,9,2,1,4,35.8,1
1,2018,7,30,9,3,1,4,35.8,1
1,2018,7,30,10,0,1,4,35.8,1
1,2018,7,30,10,1,1,4,35.8,1
1,2018,7,30,10,2,1,4,35.8,1
1,2018,7,30,10,3,1,4,35.8,1
1,2018,7,30,11,0,1,4,35.8,1
1,2018,7,30,11,1,1,4,35.8,1
1,2018,7,30,11,2,1,4,35.8,1
1,2018,7,30,11,3,1,4,35.8,1
1,2018,7,30,12,0,1,4,35.8,1
1,2018,7,30,12,1,1,4,35.8,1
1,2018,7,30,12,2,1,4,35.8,1
1,2018,7,30,12,3,1,4,35.8,1
1,2018,7,30,13,0,1,4,35.8,1
1,2018,7,30,13,1,1,4,35.8,1
1,2018,7,30,13,2,1,4,35.8,1
1,2018,7,30,13,3,1,4,35.8,1
1,2018,7,30,14,0,1,4,35.8,1
1,2018,7,30,14,1,1,4,35.8,1
1,2018,7,30,14,2,1,4,35.8,1
1,2018,7,30,14,3,1,4,35.8,1
1,2018,7,30,15,0,1,4,35.8,1
1,2018,7,30,15,1,1,4,35.8,1
1,2018,7,30,15,2,1,4,35.8,1
1,2018,7,30,15,3,1,4,35.8,1
1,2018,7,30,16,0,1,4,35.8,1
1,2018,7,30,16,1,1,4,35.8,1
1,2018,7,30,16,2,1,4,35.8,1
1,2018,7,30,16,3,1,4,35.8,1
1,2018,7,30,17,0,1,4,35.8,1
1,2018,7,30,17,1,1,4,35.8,1
1,2018,7,30,17,2,1,4,35.8,1
1,2018,7,30,17,3,1,4,35.8,1
1,2018,7,30,18,0,1,4,35.8,1
1,2018,7,30,18,1,1,4,35.8,1
1,2018,7,30,18,2,1,4,35.8,1
1,2018,7,30,18,3,1,4,35.8,1
1,2018,7,30,19,0,1,4,35.8,1
1,2018,7,30,19,1,1,4,35.8,1
1,2018,7,30,19,2,1,4,35.8,1
1,2018,7,30,19,3,1,4,35.8,1
1,2018,7,30,20,0,1,4,35.8,1
1,2018,7,30,20,1,1,4,35.8,1
1,2018,7,30,20,2,1,4,35.8,1
1,2018,7,30,20,3,1,4,35.8,1
1,2018,7,30,21,0,1,4,35.8,1
1,2018,7,30,21,1,1,4,35.8,1
1,2018,7,30,21,2,1,4,35.8,1
1,2018,7,30,21,3,1,4,35.8,1
1,2018,7,30,22,0,1,4,35.8,1
1,2018,7,30,22,1,1,4,35.8,1
1,2018,7,30,22,2,1,4,35.8,1
1,2018,7,30,22,3,1,4,35.8,1
1,2018,7,30,23,0,1,4,35.8,1
1,2018,7,30,23,1,1,4,35.8,1
1,2018,7,30,23,2,1,4,35.8,1
1,2018,7,30,23,3,1,4,35.8,1
1,2018,7,30,24,0,1,4,35.8,1
