BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2018,7,23,0,1,1,4,35.3,2,232.8
1,2018,7,23,0,2,1,4,35.3,2,227.04
1,2018,7,23,0,3,1,4,35.3,2,226.56
1,2018,7,23,1,0,1,4,35.3,2,237.12
1,2018,7,23,1,1,1,4,35.3,2,236.64
1,2018,7,23,1,2,1,4,35.3,2,236.16
1,2018,7,23,1,3,1,4,35.3,2,236.16
1,2018,7,23,2,0,1,4,35.3,2,235.68
1,2018,7,23,2,1,1,4,35.3,2,229.44
1,2018,7,23,2,2,1,4,35.3,2,228.96
1,2018,7,23,2,3,1,4,35.3,2,231.36
1,2018,7,23,3,0,1,4,35.3,2,235.68
1,2018,7,23,3,1,1,4,35.3,2,237.12
1,2018,7,23,3,2,1,4,35.3,2,230.88
1,2018,7,23,3,3,1,4,35.3,2,240.96
1,2018,7,23,4,0,1,4,35.3,2,235.68
1,2018,7,23,4,1,1,4,35.3,2,227.52
1,2018,7,23,4,2,1,4,35.3,2,232.32
1,2018,7,23,4,3,1,4,35.3,2,229.92
1,2018,7,23,5,0,1,4,35.3,2,240.96
1,2018,7,23,5,1,1,4,35.3,2,264
1,2018,7,23,5,2,1,4,35.3,2,264
1,2018,7,23,5,3,1,4,35.3,2,260.16
1,2018,7,23,6,0,1,4,35.3,2,255.84
1,2018,7,23,6,1,1,4,35.3,2,264.48
1,2018,7,23,6,2,1,4,35.3,2,255.84
1,2018,7,23,6,3,1,4,35.3,2,264.48
1,2018,7,23,7,0,1,4,35.3,2,275.52
1,2018,7,23,7,1,1,4,35.3,2,302.4
1,2018,7,23,7,2,1,4,35.3,2,342.72
1,2018,7,23,7,3,1,4,35.3,2,520.32
1,2018,7,23,8,0,1,4,35.3,2,551.04
1,2018,7,23,8,1,1,4,35.3,2,592.8
1,2018,7,23,8,2,1,4,35.3,2,624
1,2018,7,23,8,3,1,4,35.3,2,681.12
1,2018,7,23,9,0,1,4,35.3,2,692.64
1,2018,7,23,9,1,1,4,35.3,2,760.32
1,2018,7,23,9,2,1,4,35.3,2,776.16
1,2018,7,23,9,3,1,4,35.3,2,783.36
1,2018,7,23,10,0,1,4,35.3,2,776.16
1,2018,7,23,10,1,1,4,35.3,2,759.84
1,2018,7,23,10,2,1,4,35.3,2,755.52
1,2018,7,23,10,3,1,4,35.3,2,756.48
1,2018,7,23,11,0,1,4,35.3,2,752.16
1,2018,7,23,11,1,1,4,35.3,2,761.76
1,2018,7,23,11,2,1,4,35.3,2,763.2
1,2018,7,23,11,3,1,4,35.3,2,771.36
1,2018,7,23,12,0,1,4,35.3,2,743.04
1,2018,7,23,12,1,1,4,35.3,2,710.88
1,2018,7,23,12,2,1,4,35.3,2,690.72
1,2018,7,23,12,3,1,4,35.3,2,701.76
1,2018,7,23,13,0,1,4,35.3,2,709.44
1,2018,7,23,13,1,1,4,35.3,2,763.2
1,2018,7,23,13,2,1,4,35.3,2,772.32
1,2018,7,23,13,3,1,4,35.3,2,768.48
1,2018,7,23,14,0,1,4,35.3,2,784.8
1,2018,7,23,14,1,1,4,35.3,2,788.64
1,2018,7,23,14,2,1,4,35.3,2,799.2
1,2018,7,23,14,3,1,4,35.3,2,803.52
1,2018,7,23,15,0,1,4,35.3,2,788.16
1,2018,7,23,15,1,1,4,35.3,2,789.12
1,2018,7,23,15,2,1,4,35.3,2,774.72
1,2018,7,23,15,3,1,4,35.3,2,783.84
1,2018,7,23,16,0,1,4,35.3,2,789.6
1,2018,7,23,16,1,1,4,35.3,2,770.4
1,2018,7,23,16,2,1,4,35.3,2,792
1,2018,7,23,16,3,1,4,35.3,2,775.2
1,2018,7,23,17,0,1,4,35.3,2,759.36
1,2018,7,23,17,1,1,4,35.3,2,740.16
1,2018,7,23,17,2,1,4,35.3,2,739.2
1,2018,7,23,17,3,1,4,35.3,2,726.24
1,2018,7,23,18,0,1,4,35.3,2,709.44
1,2018,7,23,18,1,1,4,35.3,2,393.6
1,2018,7,23,18,2,1,4,35.3,2,390.24
1,2018,7,23,18,3,1,4,35.3,2,392.16
1,2018,7,23,19,0,1,4,35.3,2,398.88
1,2018,7,23,19,1,1,4,35.3,2,379.68
1,2018,7,23,19,2,1,4,35.3,2,362.88
1,2018,7,23,19,3,1,4,35.3,2,377.28
1,2018,7,23,20,0,1,4,35.3,2,360.48
1,2018,7,23,20,1,1,4,35.3,2,337.44
1,2018,7,23,20,2,1,4,35.3,2,329.28
1,2018,7,23,20,3,1,4,35.3,2,322.56
1,2018,7,23,21,0,1,4,35.3,2,323.52
1,2018,7,23,21,1,1,4,35.3,2,320.64
1,2018,7,23,21,2,1,4,35.3,2,332.16
1,2018,7,23,21,3,1,4,35.3,2,339.84
1,2018,7,23,22,0,1,4,35.3,2,333.6
1,2018,7,23,22,1,1,4,35.3,2,309.6
1,2018,7,23,22,2,1,4,35.3,2,286.08
1,2018,7,23,22,3,1,4,35.3,2,286.08
1,2018,7,23,23,0,1,4,35.3,2,279.84
1,2018,7,23,23,1,1,4,35.3,2,267.36
1,2018,7,23,23,2,1,4,35.3,2,260.16
1,2018,7,23,23,3,1,4,35.3,2,263.52
1,2018,7,23,24,0,1,4,35.3,2,259.2
1,2018,7,24,0,1,2,4,36.3,1,247.68
1,2018,7,24,0,2,2,4,36.3,1,247.2
1,2018,7,24,0,3,2,4,36.3,1,235.68
1,2018,7,24,1,0,2,4,36.3,1,241.44
1,2018,7,24,1,1,2,4,36.3,1,255.36
1,2018,7,24,1,2,2,4,36.3,1,240.96
1,2018,7,24,1,3,2,4,36.3,1,245.28
1,2018,7,24,2,0,2,4,36.3,1,245.76
1,2018,7,24,2,1,2,4,36.3,1,240.96
1,2018,7,24,2,2,2,4,36.3,1,241.44
1,2018,7,24,2,3,2,4,36.3,1,232.32
1,2018,7,24,3,0,2,4,36.3,1,250.56
1,2018,7,24,3,1,2,4,36.3,1,241.44
1,2018,7,24,3,2,2,4,36.3,1,247.2
1,2018,7,24,3,3,2,4,36.3,1,240
1,2018,7,24,4,0,2,4,36.3,1,248.16
1,2018,7,24,4,1,2,4,36.3,1,270.72
1,2018,7,24,4,2,2,4,36.3,1,247.68
1,2018,7,24,4,3,2,4,36.3,1,252.96
1,2018,7,24,5,0,2,4,36.3,1,249.6
1,2018,7,24,5,1,2,4,36.3,1,266.88
1,2018,7,24,5,2,2,4,36.3,1,267.36
1,2018,7,24,5,3,2,4,36.3,1,272.64
1,2018,7,24,6,0,2,4,36.3,1,266.88
1,2018,7,24,6,1,2,4,36.3,1,269.28
1,2018,7,24,6,2,2,4,36.3,1,274.08
1,2018,7,24,6,3,2,4,36.3,1,272.64
1,2018,7,24,7,0,2,4,36.3,1,282.24
1,2018,7,24,7,1,2,4,36.3,1,302.88
1,2018,7,24,7,2,2,4,36.3,1,325.44
1,2018,7,24,7,3,2,4,36.3,1,412.8
1,2018,7,24,8,0,2,4,36.3,1,548.16
1,2018,7,24,8,1,2,4,36.3,1,583.2
1,2018,7,24,8,2,2,4,36.3,1,620.64
1,2018,7,24,8,3,2,4,36.3,1,636
1,2018,7,24,9,0,2,4,36.3,1,665.76
1,2018,7,24,9,1,2,4,36.3,1,690.72
1,2018,7,24,9,2,2,4,36.3,1,707.52
1,2018,7,24,9,3,2,4,36.3,1,703.68
1,2018,7,24,10,0,2,4,36.3,1,691.2
1,2018,7,24,10,1,2,4,36.3,1,725.76
1,2018,7,24,10,2,2,4,36.3,1,750.72
1,2018,7,24,10,3,2,4,36.3,1,754.56
1,2018,7,24,11,0,2,4,36.3,1,778.08
1,2018,7,24,11,1,2,4,36.3,1,757.44
1,2018,7,24,11,2,2,4,36.3,1,807.36
1,2018,7,24,11,3,2,4,36.3,1,795.36
1,2018,7,24,12,0,2,4,36.3,1,790.56
1,2018,7,24,12,1,2,4,36.3,1,732.48
1,2018,7,24,12,2,2,4,36.3,1,748.8
1,2018,7,24,12,3,2,4,36.3,1,756.48
1,2018,7,24,13,0,2,4,36.3,1,771.84
1,2018,7,24,13,1,2,4,36.3,1,793.44
1,2018,7,24,13,2,2,4,36.3,1,836.16
1,2018,7,24,13,3,2,4,36.3,1,828
1,2018,7,24,14,0,2,4,36.3,1,849.12
1,2018,7,24,14,1,2,4,36.3,1,845.28
1,2018,7,24,14,2,2,4,36.3,1,837.12
1,2018,7,24,14,3,2,4,36.3,1,835.2
1,2018,7,24,15,0,2,4,36.3,1,829.44
1,2018,7,24,15,1,2,4,36.3,1,819.36
1,2018,7,24,15,2,2,4,36.3,1,824.16
1,2018,7,24,15,3,2,4,36.3,1,804
1,2018,7,24,16,0,2,4,36.3,1,815.52
1,2018,7,24,16,1,2,4,36.3,1,803.52
1,2018,7,24,16,2,2,4,36.3,1,811.2
1,2018,7,24,16,3,2,4,36.3,1,827.52
1,2018,7,24,17,0,2,4,36.3,1,799.68
1,2018,7,24,17,1,2,4,36.3,1,652.32
1,2018,7,24,17,2,2,4,36.3,1,653.28
1,2018,7,24,17,3,2,4,36.3,1,639.84
1,2018,7,24,18,0,2,4,36.3,1,630.24
1,2018,7,24,18,1,2,4,36.3,1,427.2
1,2018,7,24,18,2,2,4,36.3,1,426.24
1,2018,7,24,18,3,2,4,36.3,1,413.28
1,2018,7,24,19,0,2,4,36.3,1,383.04
1,2018,7,24,19,1,2,4,36.3,1,360.96
1,2018,7,24,19,2,2,4,36.3,1,351.84
1,2018,7,24,19,3,2,4,36.3,1,330.72
1,2018,7,24,20,0,2,4,36.3,1,318.24
1,2018,7,24,20,1,2,4,36.3,1,289.92
1,2018,7,24,20,2,2,4,36.3,1,298.08
1,2018,7,24,20,3,2,4,36.3,1,307.68
1,2018,7,24,21,0,2,4,36.3,1,316.8
1,2018,7,24,21,1,2,4,36.3,1,297.6
1,2018,7,24,21,2,2,4,36.3,1,279.84
1,2018,7,24,21,3,2,4,36.3,1,299.04
1,2018,7,24,22,0,2,4,36.3,1,298.08
1,2018,7,24,22,1,2,4,36.3,1,274.08
1,2018,7,24,22,2,2,4,36.3,1,260.64
1,2018,7,24,22,3,2,4,36.3,1,257.28
1,2018,7,24,23,0,2,4,36.3,1,246.24
1,2018,7,24,23,1,2,4,36.3,1,242.88
1,2018,7,24,23,2,2,4,36.3,1,244.32
1,2018,7,24,23,3,2,4,36.3,1,240.48
1,2018,7,24,24,0,2,4,36.3,1,248.16
1,2018,7,25,0,1,3,4,34.4,1,240.48
1,2018,7,25,0,2,3,4,34.4,1,237.12
1,2018,7,25,0,3,3,4,34.4,1,240
1,2018,7,25,1,0,3,4,34.4,1,239.52
1,2018,7,25,1,1,3,4,34.4,1,242.4
1,2018,7,25,1,2,3,4,34.4,1,232.8
1,2018,7,25,1,3,3,4,34.4,1,245.28
1,2018,7,25,2,0,3,4,34.4,1,237.12
1,2018,7,25,2,1,3,4,34.4,1,231.84
1,2018,7,25,2,2,3,4,34.4,1,240.48
1,2018,7,25,2,3,3,4,34.4,1,236.64
1,2018,7,25,3,0,3,4,34.4,1,236.64
1,2018,7,25,3,1,3,4,34.4,1,234.72
1,2018,7,25,3,2,3,4,34.4,1,258.72
1,2018,7,25,3,3,3,4,34.4,1,239.04
1,2018,7,25,4,0,3,4,34.4,1,231.36
1,2018,7,25,4,1,3,4,34.4,1,244.32
1,2018,7,25,4,2,3,4,34.4,1,240
1,2018,7,25,4,3,3,4,34.4,1,235.2
1,2018,7,25,5,0,3,4,34.4,1,241.44
1,2018,7,25,5,1,3,4,34.4,1,261.12
1,2018,7,25,5,2,3,4,34.4,1,253.44
1,2018,7,25,5,3,3,4,34.4,1,257.76
1,2018,7,25,6,0,3,4,34.4,1,262.08
1,2018,7,25,6,1,3,4,34.4,1,254.4
1,2018,7,25,6,2,3,4,34.4,1,268.32
1,2018,7,25,6,3,3,4,34.4,1,276.48
1,2018,7,25,7,0,3,4,34.4,1,294.72
1,2018,7,25,7,1,3,4,34.4,1,339.84
1,2018,7,25,7,2,3,4,34.4,1,349.92
1,2018,7,25,7,3,3,4,34.4,1,384
1,2018,7,25,8,0,3,4,34.4,1,423.84
1,2018,7,25,8,1,3,4,34.4,1,594.24
1,2018,7,25,8,2,3,4,34.4,1,629.76
1,2018,7,25,8,3,3,4,34.4,1,628.32
1,2018,7,25,9,0,3,4,34.4,1,653.28
1,2018,7,25,9,1,3,4,34.4,1,673.44
1,2018,7,25,9,2,3,4,34.4,1,690.24
1,2018,7,25,9,3,3,4,34.4,1,663.84
1,2018,7,25,10,0,3,4,34.4,1,680.64
1,2018,7,25,10,1,3,4,34.4,1,750.72
1,2018,7,25,10,2,3,4,34.4,1,776.16
1,2018,7,25,10,3,3,4,34.4,1,790.56
1,2018,7,25,11,0,3,4,34.4,1,772.32
1,2018,7,25,11,1,3,4,34.4,1,767.52
1,2018,7,25,11,2,3,4,34.4,1,777.12
1,2018,7,25,11,3,3,4,34.4,1,751.2
1,2018,7,25,12,0,3,4,34.4,1,773.28
1,2018,7,25,12,1,3,4,34.4,1,714.24
1,2018,7,25,12,2,3,4,34.4,1,689.76
1,2018,7,25,12,3,3,4,34.4,1,710.88
1,2018,7,25,13,0,3,4,34.4,1,698.88
1,2018,7,25,13,1,3,4,34.4,1,747.36
1,2018,7,25,13,2,3,4,34.4,1,752.16
1,2018,7,25,13,3,3,4,34.4,1,768
1,2018,7,25,14,0,3,4,34.4,1,773.28
1,2018,7,25,14,1,3,4,34.4,1,764.16
1,2018,7,25,14,2,3,4,34.4,1,752.16
1,2018,7,25,14,3,3,4,34.4,1,757.44
1,2018,7,25,15,0,3,4,34.4,1,750.72
1,2018,7,25,15,1,3,4,34.4,1,762.72
1,2018,7,25,15,2,3,4,34.4,1,776.64
1,2018,7,25,15,3,3,4,34.4,1,763.2
1,2018,7,25,16,0,3,4,34.4,1,733.44
1,2018,7,25,16,1,3,4,34.4,1,720.48
1,2018,7,25,16,2,3,4,34.4,1,749.28
1,2018,7,25,16,3,3,4,34.4,1,721.44
1,2018,7,25,17,0,3,4,34.4,1,777.6
1,2018,7,25,17,1,3,4,34.4,1,704.64
1,2018,7,25,17,2,3,4,34.4,1,610.08
1,2018,7,25,17,3,3,4,34.4,1,601.92
