BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2018,7,25,0,1,3,4,34.4,1,240.48
1,2018,7,25,0,2,3,4,34.4,1,237.12
1,2018,7,25,0,3,3,4,34.4,1,240
1,2018,7,25,1,0,3,4,34.4,1,239.52
1,2018,7,25,1,1,3,4,34.4,1,242.4
1,2018,7,25,1,2,3,4,34.4,1,232.8
1,2018,7,25,1,3,3,4,34.4,1,245.28
1,2018,7,25,2,0,3,4,34.4,1,237.12
1,2018,7,25,2,1,3,4,34.4,1,231.84
1,2018,7,25,2,2,3,4,34.4,1,240.48
1,2018,7,25,2,3,3,4,34.4,1,236.64
1,2018,7,25,3,0,3,4,34.4,1,236.64
1,2018,7,25,3,1,3,4,34.4,1,234.72
1,2018,7,25,3,2,3,4,34.4,1,258.72
1,2018,7,25,3,3,3,4,34.4,1,239.04
1,2018,7,25,4,0,3,4,34.4,1,231.36
1,2018,7,25,4,1,3,4,34.4,1,244.32
1,2018,7,25,4,2,3,4,34.4,1,240
1,2018,7,25,4,3,3,4,34.4,1,235.2
1,2018,7,25,5,0,3,4,34.4,1,241.44
1,2018,7,25,5,1,3,4,34.4,1,261.12
1,2018,7,25,5,2,3,4,34.4,1,253.44
1,2018,7,25,5,3,3,4,34.4,1,257.76
1,2018,7,25,6,0,3,4,34.4,1,262.08
1,2018,7,25,6,1,3,4,34.4,1,254.4
1,2018,7,25,6,2,3,4,34.4,1,268.32
1,2018,7,25,6,3,3,4,34.4,1,276.48
1,2018,7,25,7,0,3,4,34.4,1,294.72
1,2018,7,25,7,1,3,4,34.4,1,339.84
1,2018,7,25,7,2,3,4,34.4,1,349.92
1,2018,7,25,7,3,3,4,34.4,1,384
1,2018,7,25,8,0,3,4,34.4,1,423.84
1,2018,7,25,8,1,3,4,34.4,1,594.24
1,2018,7,25,8,2,3,4,34.4,1,629.76
1,2018,7,25,8,3,3,4,34.4,1,628.32
1,2018,7,25,9,0,3,4,34.4,1,653.28
1,2018,7,25,9,1,3,4,34.4,1,673.44
1,2018,7,25,9,2,3,4,34.4,1,690.24
1,2018,7,25,9,3,3,4,34.4,1,663.84
1,2018,7,25,10,0,3,4,34.4,1,680.64
1,2018,7,25,10,1,3,4,34.4,1,750.72
1,2018,7,25,10,2,3,4,34.4,1,776.16
1,2018,7,25,10,3,3,4,34.4,1,790.56
1,2018,7,25,11,0,3,4,34.4,1,772.32
1,2018,7,25,11,1,3,4,34.4,1,767.52
1,2018,7,25,11,2,3,4,34.4,1,777.12
1,2018,7,25,11,3,3,4,34.4,1,751.2
1,2018,7,25,12,0,3,4,34.4,1,773.28
1,2018,7,25,12,1,3,4,34.4,1,714.24
1,2018,7,25,12,2,3,4,34.4,1,689.76
1,2018,7,25,12,3,3,4,34.4,1,710.88
1,2018,7,25,13,0,3,4,34.4,1,698.88
1,2018,7,25,13,1,3,4,34.4,1,747.36
1,2018,7,25,13,2,3,4,34.4,1,752.16
1,2018,7,25,13,3,3,4,34.4,1,768
1,2018,7,25,14,0,3,4,34.4,1,773.28
1,2018,7,25,14,1,3,4,34.4,1,764.16
1,2018,7,25,14,2,3,4,34.4,1,752.16
1,2018,7,25,14,3,3,4,34.4,1,757.44
1,2018,7,25,15,0,3,4,34.4,1,750.72
1,2018,7,25,15,1,3,4,34.4,1,762.72
1,2018,7,25,15,2,3,4,34.4,1,776.64
1,2018,7,25,15,3,3,4,34.4,1,763.2
1,2018,7,25,16,0,3,4,34.4,1,733.44
1,2018,7,25,16,1,3,4,34.4,1,720.48
1,2018,7,25,16,2,3,4,34.4,1,749.28
1,2018,7,25,16,3,3,4,34.4,1,721.44
1,2018,7,25,17,0,3,4,34.4,1,777.6
1,2018,7,25,17,1,3,4,34.4,1,704.64
1,2018,7,25,17,2,3,4,34.4,1,610.08
1,2018,7,25,17,3,3,4,34.4,1,601.92
1,2018,7,25,18,0,3,4,34.4,1,630.72
1,2018,7,25,18,1,3,4,34.4,1,529.92
1,2018,7,25,18,2,3,4,34.4,1,516.48
1,2018,7,25,18,3,3,4,34.4,1,376.32
1,2018,7,25,19,0,3,4,34.4,1,416.64
1,2018,7,25,19,1,3,4,34.4,1,367.2
1,2018,7,25,19,2,3,4,34.4,1,378.72
1,2018,7,25,19,3,3,4,34.4,1,364.8
1,2018,7,25,20,0,3,4,34.4,1,356.16
1,2018,7,25,20,1,3,4,34.4,1,309.12
1,2018,7,25,20,2,3,4,34.4,1,324.48
1,2018,7,25,20,3,3,4,34.4,1,296.16
1,2018,7,25,21,0,3,4,34.4,1,310.56
1,2018,7,25,21,1,3,4,34.4,1,332.16
1,2018,7,25,21,2,3,4,34.4,1,307.68
1,2018,7,25,21,3,3,4,34.4,1,313.44
1,2018,7,25,22,0,3,4,34.4,1,294.72
1,2018,7,25,22,1,3,4,34.4,1,274.56
1,2018,7,25,22,2,3,4,34.4,1,253.44
1,2018,7,25,22,3,3,4,34.4,1,257.28
1,2018,7,25,23,0,3,4,34.4,1,253.92
1,2018,7,25,23,1,3,4,34.4,1,250.56
1,2018,7,25,23,2,3,4,34.4,1,241.44
1,2018,7,25,23,3,3,4,34.4,1,240.48
1,2018,7,25,24,0,3,4,34.4,1,236.64
1,2018,7,26,0,1,4,4,35.5,1,229.92
1,2018,7,26,0,2,4,4,35.5,1,234.72
1,2018,7,26,0,3,4,4,35.5,1,235.68
1,2018,7,26,1,0,4,4,35.5,1,228.96
1,2018,7,26,1,1,4,4,35.5,1,237.12
1,2018,7,26,1,2,4,4,35.5,1,234.24
1,2018,7,26,1,3,4,4,35.5,1,227.52
1,2018,7,26,2,0,4,4,35.5,1,234.72
1,2018,7,26,2,1,4,4,35.5,1,238.08
1,2018,7,26,2,2,4,4,35.5,1,230.88
