BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather
1,2019,2,10,0,1,7,5,4.5,4
1,2019,2,10,0,2,7,5,4.5,4
1,2019,2,10,0,3,7,5,4.5,4
1,2019,2,10,1,0,7,5,4.5,4
1,2019,2,10,1,1,7,5,4.5,4
1,2019,2,10,1,2,7,5,4.5,4
1,2019,2,10,1,3,7,5,4.5,4
1,2019,2,10,2,0,7,5,4.5,4
1,2019,2,10,2,1,7,5,4.5,3
1,2019,2,10,2,2,7,5,4.5,3
1,2019,2,10,2,3,7,5,4.5,3
1,2019,2,10,3,0,7,5,4.5,3
1,2019,2,10,3,1,7,5,4.5,3
1,2019,2,10,3,2,7,5,4.5,3
1,2019,2,10,3,3,7,5,4.5,3
1,2019,2,10,4,0,7,5,4.5,3
1,2019,2,10,4,1,7,5,4.5,1
1,2019,2,10,4,2,7,5,4.5,1
1,2019,2,10,4,3,7,5,4.5,1
1,2019,2,10,5,0,7,5,4.5,1
1,2019,2,10,5,1,7,5,4.5,2
1,2019,2,10,5,2,7,5,4.5,2
1,2019,2,10,5,3,7,5,4.5,2
1,2019,2,10,6,0,7,5,4.5,2
1,2019,2,10,6,1,7,5,4.5,2
1,2019,2,10,6,2,7,5,4.5,2
1,2019,2,10,6,3,7,5,4.5,2
1,2019,2,10,7,0,7,5,4.5,2
1,2019,2,10,7,1,7,5,4.5,1
1,2019,2,10,7,2,7,5,4.5,1
1,2019,2,10,7,3,7,5,4.5,1
1,2019,2,10,8,0,7,5,4.5,1
1,2019,2,10,8,1,7,5,4.5,1
1,2019,2,10,8,2,7,5,4.5,1
1,2019,2,10,8,3,7,5,4.5,1
1,2019,2,10,9,0,7,5,4.5,1
1,2019,2,10,9,1,7,5,4.5,3
1,2019,2,10,9,2,7,5,4.5,3
1,2019,2,10,9,3,7,5,4.5,3
1,2019,2,10,10,0,7,5,4.5,3
1,2019,2,10,10,1,7,5,4.5,3
1,2019,2,10,10,2,7,5,4.5,3
1,2019,2,10,10,3,7,5,4.5,3
1,2019,2,10,11,0,7,5,4.5,3
1,2019,2,10,11,1,7,5,4.5,3
1,2019,2,10,11,2,7,5,4.5,3
1,2019,2,10,11,3,7,5,4.5,3
1,2019,2,10,12,0,7,5,4.5,3
1,2019,2,10,12,1,7,5,4.5,3
1,2019,2,10,12,2,7,5,4.5,3
1,2019,2,10,12,3,7,5,4.5,3
1,2019,2,10,13,0,7,5,4.5,3
1,2019,2,10,13,1,7,5,4.5,4
1,2019,2,10,13,2,7,5,4.5,4
1,2019,2,10,13,3,7,5,4.5,4
1,2019,2,10,14,0,7,5,4.5,4
1,2019,2,10,14,1,7,5,4.5,4
1,2019,2,10,14,2,7,5,4.5,4
1,2019,2,10,14,3,7,5,4.5,4
1,2019,2,10,15,0,7,5,4.5,4
1,2019,2,10,15,1,7,5,4.5,4
1,2019,2,10,15,2,7,5,4.5,4
1,2019,2,10,15,3,7,5,4.5,4
1,2019,2,10,16,0,7,5,4.5,4
1,2019,2,10,16,1,7,5,4.5,4
1,2019,2,10,16,2,7,5,4.5,4
1,2019,2,10,16,3,7,5,4.5,4
1,2019,2,10,17,0,7,5,4.5,4
1,2019,2,10,17,1,7,5,4.5,4
1,2019,2,10,17,2,7,5,4.5,4
1,2019,2,10,17,3,7,5,4.5,4
1,2019,2,10,18,0,7,5,4.5,4
1,2019,2,10,18,1,7,5,4.5,4
1,2019,2,10,18,2,7,5,4.5,4
1,2019,2,10,18,3,7,5,4.5,4
1,2019,2,10,19,0,7,5,4.5,4
1,2019,2,10,19,1,7,5,4.5,4
1,2019,2,10,19,2,7,5,4.5,4
1,2019,2,10,19,3,7,5,4.5,4
1,2019,2,10,20,0,7,5,4.5,4
1,2019,2,10,20,1,7,5,4.5,4
1,2019,2,10,20,2,7,5,4.5,4
1,2019,2,10,20,3,7,5,4.5,4
1,2019,2,10,21,0,7,5,4.5,4
1,2019,2,10,21,1,7,5,4.5,4
1,2019,2,10,21,2,7,5,4.5,4
1,2019,2,10,21,3,7,5,4.5,4
1,2019,2,10,22,0,7,5,4.5,4
1,2019,2,10,22,1,7,5,4.5,4
1,2019,2,10,22,2,7,5,4.5,4
1,2019,2,10,22,3,7,5,4.5,4
1,2019,2,10,23,0,7,5,4.5,4
1,2019,2,10,23,1,7,5,4.5,4
1,2019,2,10,23,2,7,5,4.5,4
1,2019,2,10,23,3,7,5,4.5,4
1,2019,2,11,0,0,7,5,4.5,4
