BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather,Demand
1,2018,6,1,0,1,5,4,31.1,2,196.32
1,2018,6,1,0,2,5,4,31.1,2,198.24
1,2018,6,1,0,3,5,4,31.1,2,199.68
1,2018,6,1,1,0,5,4,31.1,2,197.76
1,2018,6,1,1,1,5,4,31.1,2,200.64
1,2018,6,1,1,2,5,4,31.1,2,200.16
1,2018,6,1,1,3,5,4,31.1,2,202.08
1,2018,6,1,2,0,5,4,31.1,2,197.28
1,2018,6,1,2,1,5,4,31.1,2,196.32
1,2018,6,1,2,2,5,4,31.1,2,198.24
1,2018,6,1,2,3,5,4,31.1,2,215.52
1,2018,6,1,3,0,5,4,31.1,2,194.4
1,2018,6,1,3,1,5,4,31.1,2,195.84
1,2018,6,1,3,2,5,4,31.1,2,197.76
1,2018,6,1,3,3,5,4,31.1,2,195.36
1,2018,6,1,4,0,5,4,31.1,2,193.44
1,2018,6,1,4,1,5,4,31.1,2,192
1,2018,6,1,4,2,5,4,31.1,2,206.88
1,2018,6,1,4,3,5,4,31.1,2,191.04
1,2018,6,1,5,0,5,4,31.1,2,188.64
1,2018,6,1,5,1,5,4,31.1,2,210.72
1,2018,6,1,5,2,5,4,31.1,2,212.16
1,2018,6,1,5,3,5,4,31.1,2,209.76
1,2018,6,1,6,0,5,4,31.1,2,210.72
1,2018,6,1,6,1,5,4,31.1,2,210.72
1,2018,6,1,6,2,5,4,31.1,2,215.52
1,2018,6,1,6,3,5,4,31.1,2,214.08
1,2018,6,1,7,0,5,4,31.1,2,217.92
1,2018,6,1,7,1,5,4,31.1,2,233.28
1,2018,6,1,7,2,5,4,31.1,2,246.24
1,2018,6,1,7,3,5,4,31.1,2,257.28
1,2018,6,1,8,0,5,4,31.1,2,263.52
1,2018,6,1,8,1,5,4,31.1,2,287.04
1,2018,6,1,8,2,5,4,31.1,2,290.4
1,2018,6,1,8,3,5,4,31.1,2,284.64
1,2018,6,1,9,0,5,4,31.1,2,315.84
1,2018,6,1,9,1,5,4,31.1,2,333.6
1,2018,6,1,9,2,5,4,31.1,2,338.4
1,2018,6,1,9,3,5,4,31.1,2,353.28
1,2018,6,1,10,0,5,4,31.1,2,340.8
1,2018,6,1,10,1,5,4,31.1,2,345.6
1,2018,6,1,10,2,5,4,31.1,2,420.96
1,2018,6,1,10,3,5,4,31.1,2,438.72
1,2018,6,1,11,0,5,4,31.1,2,412.32
1,2018,6,1,11,1,5,4,31.1,2,421.92
1,2018,6,1,11,2,5,4,31.1,2,417.12
1,2018,6,1,11,3,5,4,31.1,2,421.44
1,2018,6,1,12,0,5,4,31.1,2,412.32
1,2018,6,1,12,1,5,4,31.1,2,378.72
1,2018,6,1,12,2,5,4,31.1,2,352.32
1,2018,6,1,12,3,5,4,31.1,2,352.32
1,2018,6,1,13,0,5,4,31.1,2,380.64
1,2018,6,1,13,1,5,4,31.1,2,395.52
1,2018,6,1,13,2,5,4,31.1,2,408.96
1,2018,6,1,13,3,5,4,31.1,2,431.04
1,2018,6,1,14,0,5,4,31.1,2,438.72
1,2018,6,1,14,1,5,4,31.1,2,444
1,2018,6,1,14,2,5,4,31.1,2,428.64
1,2018,6,1,14,3,5,4,31.1,2,443.04
1,2018,6,1,15,0,5,4,31.1,2,436.32
1,2018,6,1,15,1,5,4,31.1,2,440.64
1,2018,6,1,15,2,5,4,31.1,2,460.32
1,2018,6,1,15,3,5,4,31.1,2,444.48
1,2018,6,1,16,0,5,4,31.1,2,435.36
1,2018,6,1,16,1,5,4,31.1,2,413.28
1,2018,6,1,16,2,5,4,31.1,2,422.88
1,2018,6,1,16,3,5,4,31.1,2,393.6
1,2018,6,1,17,0,5,4,31.1,2,412.8
1,2018,6,1,17,1,5,4,31.1,2,360
1,2018,6,1,17,2,5,4,31.1,2,335.04
