BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather,Demand
1,2019,1,1,0,0,1,1,-8.1,1,4152
1,2019,1,1,0,1,2,1,-2.7,1,4164
1,2019,1,1,0,2,2,1,-2.7,1,4144
1,2019,1,1,0,3,2,1,-2.7,1,4140
1,2019,1,1,1,0,2,1,-2.7,1,4180
1,2019,1,1,1,1,2,1,-2.7,1,4172
1,2019,1,1,1,2,2,1,-2.7,1,1900
1,2019,1,1,1,3,2,1,-2.7,1,1908
1,2019,1,1,2,0,2,1,-2.7,1,1908
1,2019,1,1,2,1,2,1,-2.7,1,1920
1,2019,1,1,2,2,2,1,-2.7,1,1908
1,2019,1,1,2,3,2,1,-2.7,1,1908
1,2019,1,1,3,0,2,1,-2.7,1,1896
1,2019,1,1,3,1,2,1,-2.7,1,1908
1,2019,1,1,3,2,2,1,-2.7,1,1888
1,2019,1,1,3,3,2,1,-2.7,1,1920
1,2019,1,1,4,0,2,1,-2.7,1,1912
1,2019,1,1,4,1,2,1,-2.7,1,1924
1,2019,1,1,4,2,2,1,-2.7,1,1920
1,2019,1,1,4,3,2,1,-2.7,1,1908
1,2019,1,1,5,0,2,1,-2.7,1,1888
1,2019,1,1,5,1,2,1,-2.7,3,1896
1,2019,1,1,5,2,2,1,-2.7,3,1908
1,2019,1,1,5,3,2,1,-2.7,3,1900
1,2019,1,1,6,0,2,1,-2.7,3,1920
1,2019,1,1,6,1,2,1,-2.7,3,1916
1,2019,1,1,6,2,2,1,-2.7,3,1908
1,2019,1,1,6,3,2,1,-2.7,3,1908
1,2019,1,1,7,0,2,1,-2.7,3,1900
1,2019,1,1,7,1,2,1,-2.7,3,1892
1,2019,1,1,7,2,2,1,-2.7,3,1908
1,2019,1,1,7,3,2,1,-2.7,3,1920
1,2019,1,1,8,0,2,1,-2.7,3,1920
1,2019,1,1,8,1,2,1,-2.7,3,1896
1,2019,1,1,8,2,2,1,-2.7,3,1900
1,2019,1,1,8,3,2,1,-2.7,3,1900
1,2019,1,1,9,0,2,1,-2.7,3,1908
1,2019,1,1,9,1,2,1,-2.7,3,1908
1,2019,1,1,9,2,2,1,-2.7,3,1920
1,2019,1,1,9,3,2,1,-2.7,3,1912
1,2019,1,1,10,0,2,1,-2.7,3,1912
1,2019,1,1,10,1,2,1,-2.7,4,1892
1,2019,1,1,10,2,2,1,-2.7,4,1908
1,2019,1,1,10,3,2,1,-2.7,4,1908
1,2019,1,1,11,0,2,1,-2.7,4,1908
1,2019,1,1,11,1,2,1,-2.7,3,1900
1,2019,1,1,11,2,2,1,-2.7,3,1920
1,2019,1,1,11,3,2,1,-2.7,3,1920
1,2019,1,1,12,0,2,1,-2.7,3,1896
1,2019,1,1,12,1,2,1,-2.7,2,1908
1,2019,1,1,12,2,2,1,-2.7,2,1908
1,2019,1,1,12,3,2,1,-2.7,2,1908
1,2019,1,1,13,0,2,1,-2.7,2,1884
1,2019,1,1,13,1,2,1,-2.7,3,1908
1,2019,1,1,13,2,2,1,-2.7,3,1908
1,2019,1,1,13,3,2,1,-2.7,3,1908
1,2019,1,1,14,0,2,1,-2.7,3,1896
1,2019,1,1,14,1,2,1,-2.7,2,1896
1,2019,1,1,14,2,2,1,-2.7,2,3288
1,2019,1,1,14,3,2,1,-2.7,2,3300
1,2019,1,1,15,0,2,1,-2.7,2,3300
1,2019,1,1,15,1,2,1,-2.7,2,3300
1,2019,1,1,15,2,2,1,-2.7,2,3304
1,2019,1,1,15,3,2,1,-2.7,2,3300
1,2019,1,1,16,0,2,1,-2.7,2,3312
1,2019,1,1,16,1,2,1,-2.7,2,3292
1,2019,1,1,16,2,2,1,-2.7,2,3124
1,2019,1,1,16,3,2,1,-2.7,2,3124
1,2019,1,1,17,0,2,1,-2.7,2,3084
1,2019,1,1,17,1,2,1,-2.7,1,3100
1,2019,1,1,17,2,2,1,-2.7,1,3112
1,2019,1,1,17,3,2,1,-2.7,1,3120
1,2019,1,1,18,0,2,1,-2.7,1,3140
1,2019,1,1,18,1,2,1,-2.7,1,3108
1,2019,1,1,18,2,2,1,-2.7,1,3120
1,2019,1,1,18,3,2,1,-2.7,1,3096
1,2019,1,1,19,0,2,1,-2.7,1,3132
1,2019,1,1,19,1,2,1,-2.7,4,3108
1,2019,1,1,19,2,2,1,-2.7,4,3120
1,2019,1,1,19,3,2,1,-2.7,4,3132
1,2019,1,1,20,0,2,1,-2.7,4,3132
1,2019,1,1,20,1,2,1,-2.7,1,3132
1,2019,1,1,20,2,2,1,-2.7,1,3132
1,2019,1,1,20,3,2,1,-2.7,1,3144
1,2019,1,1,21,0,2,1,-2.7,1,3160
1,2019,1,1,21,1,2,1,-2.7,1,3180
1,2019,1,1,21,2,2,1,-2.7,1,3144
1,2019,1,1,21,3,2,1,-2.7,1,3168
1,2019,1,1,22,0,2,1,-2.7,1,3168
1,2019,1,1,22,1,2,1,-2.7,1,3144
1,2019,1,1,22,2,2,1,-2.7,1,3180
1,2019,1,1,22,3,2,1,-2.7,1,3156
1,2019,1,1,23,0,2,1,-2.7,1,2776
1,2019,1,1,23,1,2,1,-2.7,1,2772
1,2019,1,1,23,2,2,1,-2.7,1,2796
