BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather,Demand
1,2019,1,1,0,0,1,1,-8.1,1,10
1,2019,1,1,0,1,2,1,-2.7,1,20
1,2019,1,1,0,2,2,1,-2.7,1,30
1,2019,1,1,0,3,2,1,-2.7,1,40
1,2019,1,1,1,0,2,1,-2.7,1,50
1,2019,1,1,1,1,2,1,-2.7,1,60
1,2019,1,1,1,2,2,1,-2.7,1,70
1,2019,1,1,1,3,2,1,-2.7,1,80
1,2019,1,1,2,0,2,1,-2.7,1,90
1,2019,1,1,2,1,2,1,-2.7,1,100
1,2019,1,1,2,2,2,1,-2.7,1,110
1,2019,1,1,2,3,2,1,-2.7,1,120
1,2019,1,1,3,0,2,1,-2.7,1,130
1,2019,1,1,3,1,2,1,-2.7,1,140
1,2019,1,1,3,2,2,1,-2.7,1,150
1,2019,1,1,3,3,2,1,-2.7,1,160
1,2019,1,1,4,0,2,1,-2.7,1,170
1,2019,1,1,4,1,2,1,-2.7,1,180
1,2019,1,1,4,2,2,1,-2.7,1,190
1,2019,1,1,4,3,2,1,-2.7,1,200
1,2019,1,1,5,0,2,1,-2.7,1,210
1,2019,1,1,5,1,2,1,-2.7,3,220
1,2019,1,1,5,2,2,1,-2.7,3,230
1,2019,1,1,5,3,2,1,-2.7,3,240
1,2019,1,1,6,0,2,1,-2.7,3,250
1,2019,1,1,6,1,2,1,-2.7,3,260
1,2019,1,1,6,2,2,1,-2.7,3,270
1,2019,1,1,6,3,2,1,-2.7,3,280
1,2019,1,1,7,0,2,1,-2.7,3,290
1,2019,1,1,7,1,2,1,-2.7,3,300
1,2019,1,1,7,2,2,1,-2.7,3,310
1,2019,1,1,7,3,2,1,-2.7,3,320
1,2019,1,1,8,0,2,1,-2.7,3,330
1,2019,1,1,8,1,2,1,-2.7,3,340
1,2019,1,1,8,2,2,1,-2.7,3,350
1,2019,1,1,8,3,2,1,-2.7,3,360
1,2019,1,1,9,0,2,1,-2.7,3,370
1,2019,1,1,9,1,2,1,-2.7,3,380
1,2019,1,1,9,2,2,1,-2.7,3,390
1,2019,1,1,9,3,2,1,-2.7,3,400
1,2019,1,1,10,0,2,1,-2.7,3,410
1,2019,1,1,10,1,2,1,-2.7,4,420
1,2019,1,1,10,2,2,1,-2.7,4,430
1,2019,1,1,10,3,2,1,-2.7,4,440
1,2019,1,1,11,0,2,1,-2.7,4,450
1,2019,1,1,11,1,2,1,-2.7,3,460
1,2019,1,1,11,2,2,1,-2.7,3,470
1,2019,1,1,11,3,2,1,-2.7,3,480
1,2019,1,1,12,0,2,1,-2.7,3,490
1,2019,1,1,12,1,2,1,-2.7,2,500
1,2019,1,1,12,2,2,1,-2.7,2,510
1,2019,1,1,12,3,2,1,-2.7,2,520
1,2019,1,1,13,0,2,1,-2.7,2,530
1,2019,1,1,13,1,2,1,-2.7,3,540
1,2019,1,1,13,2,2,1,-2.7,3,550
1,2019,1,1,13,3,2,1,-2.7,3,560
1,2019,1,1,14,0,2,1,-2.7,3,570
1,2019,1,1,14,1,2,1,-2.7,2,580
1,2019,1,1,14,2,2,1,-2.7,2,590
1,2019,1,1,14,3,2,1,-2.7,2,600
1,2019,1,1,15,0,2,1,-2.7,2,610
1,2019,1,1,15,1,2,1,-2.7,2,620
1,2019,1,1,15,2,2,1,-2.7,2,630
1,2019,1,1,15,3,2,1,-2.7,2,640
1,2019,1,1,16,0,2,1,-2.7,2,650
1,2019,1,1,16,1,2,1,-2.7,2,660
1,2019,1,1,16,2,2,1,-2.7,2,670
1,2019,1,1,16,3,2,1,-2.7,2,680
1,2019,1,1,17,0,2,1,-2.7,2,690
1,2019,1,1,17,1,2,1,-2.7,1,700
1,2019,1,1,17,2,2,1,-2.7,1,710
1,2019,1,1,17,3,2,1,-2.7,1,720
1,2019,1,1,18,0,2,1,-2.7,1,730
1,2019,1,1,18,1,2,1,-2.7,1,740
1,2019,1,1,18,2,2,1,-2.7,1,750
1,2019,1,1,18,3,2,1,-2.7,1,760
1,2019,1,1,19,0,2,1,-2.7,1,770
1,2019,1,1,19,1,2,1,-2.7,4,780
1,2019,1,1,19,2,2,1,-2.7,4,790
1,2019,1,1,19,3,2,1,-2.7,4,800
1,2019,1,1,20,0,2,1,-2.7,4,810
1,2019,1,1,20,1,2,1,-2.7,1,820
1,2019,1,1,20,2,2,1,-2.7,1,830
1,2019,1,1,20,3,2,1,-2.7,1,840
1,2019,1,1,21,0,2,1,-2.7,1,850
1,2019,1,1,21,1,2,1,-2.7,1,860
1,2019,1,1,21,2,2,1,-2.7,1,870
1,2019,1,1,21,3,2,1,-2.7,1,880
1,2019,1,1,22,0,2,1,-2.7,1,890
1,2019,1,1,22,1,2,1,-2.7,1,900
1,2019,1,1,22,2,2,1,-2.7,1,910
